"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CAALFM_C101600WA",2389.27699933202,-0.000897646213791989,0.0565088180392705,0.829363706177881,0.99970875222106
"CAALFM_C101610CA",147.105316339798,0.00303323870227963,0.0565721216920219,0.541060642717008,0.99970875222106
"CAALFM_C101620CA",366.998024601482,-0.00215177672073706,0.0560205872960831,0.824512771472434,0.99970875222106
"CAALFM_C101630WA",1069.28528508573,-0.010958719950154,0.0562675279568101,0.435107854431446,0.99970875222106
"CAALFM_C101640WA",4730.54075043061,-0.00103699500900219,0.0564954775900021,0.81296585965338,0.99970875222106
"CAALFM_C101650WA",1748.44381739683,0.00131014684005351,0.0564753572026623,0.795159458016883,0.99970875222106
"CAALFM_C101670CA",663.002602346053,0.0166910760802437,0.0564719319335537,0.377752580097329,0.99970875222106
"CAALFM_C101680CA",1078.05598550544,-0.000178594020844867,0.0564860252245723,0.962163446887505,0.99970875222106
"CAALFM_C101690CA",24174.4066119317,-0.00317883932376051,0.0549458397617113,0.76492766524503,0.99970875222106
"CAALFM_C101700WA",1934.5391475822,0.00360603724167472,0.0558136335891433,0.726626190886582,0.99970875222106
"CAALFM_C101710WA",547.396602660991,0.00524975941885301,0.0553199092098217,0.69557385646148,0.99970875222106
"CAALFM_C101720CA",1342.30025555448,-0.00362693355788924,0.0564356330956737,0.58558181939668,0.99970875222106
"CAALFM_C101740WA",44.7280982560204,0.0056163711276206,0.0563979801244617,0.517333436560454,0.99970875222106
"CAALFM_C101750WA",403.524161958228,0.00393406085142283,0.0558579110234061,0.713772478937472,0.99970875222106
"CAALFM_C101760WA",593.620915862336,0.00125655727128487,0.0562031053308568,0.867023718910282,0.99970875222106
"CAALFM_C101770WA",343.260721867946,-0.000961837459342279,0.0544201255113581,0.94988557322083,0.99970875222106
"CAALFM_C101780CA",598.625315600316,0.00686826181721743,0.055678071257941,0.596168957112656,0.99970875222106
"CAALFM_C101790WA",1780.50557860638,-0.00365817643076449,0.0536910980422542,0.834056678942717,0.99970875222106
"CAALFM_C101800WA",752.702635964446,-0.00388111546691452,0.0545543533278916,0.799448681678948,0.99970875222106
"CAALFM_C101810CA",1806.02548056923,0.00185465360302818,0.0565855728096701,0.629802832480213,0.99970875222106
"CAALFM_C101820CA",604.003690942026,0.00691094166418519,0.0539045145873494,0.709447786101385,0.99970875222106
"CAALFM_C101830CA",1515.25025560645,0.00224985054326408,0.0563824269981322,0.72311376788142,0.99970875222106
"CAALFM_C101840CA",638.072509305812,-1.59744122597693e-05,0.0564232163301328,0.992901076188486,0.99970875222106
"CAALFM_C101850CA",691.828066168166,-0.00474645517970159,0.0554628973241519,0.700884285760204,0.99970875222106
"CAALFM_C101860WA",2727.06036972924,-0.000814082373585662,0.0562811460118949,0.897443922085936,0.99970875222106
"CAALFM_C101870CA",8169.16359601994,-0.000828288208402761,0.0562603101145007,0.897767935667499,0.99970875222106
"CAALFM_C101880CA",307.74309757067,0.000986816210581954,0.0557221897821379,0.925531599181049,0.99970875222106
"CAALFM_C101890CA",1432.15753374229,0.00450983470589052,0.0565369823616378,0.500840329855979,0.99970875222106
"CAALFM_C101900CA",654.428208126365,0.0129101993481711,0.0562172161246788,0.421236827952164,0.99970875222106
"CAALFM_C101910WA",2490.215180246,-8.40405570889816e-05,0.0564941510166637,0.976400902536659,0.99970875222106
"CAALFM_C101920WA",791.355125407343,-0.000885704560184643,0.0560769011245449,0.90326542070889,0.99970875222106
"CAALFM_C101940CA",732.17499647289,-0.00352437916423677,0.0562435726038229,0.657912940492771,0.99970875222106
"CAALFM_C101950CA",801.901010419283,-0.00118129791397807,0.0536953750300631,0.942017524670657,0.99970875222106
"CAALFM_C101970WA",1.69000121807329,-0.000285239638130885,0.0566494498940948,0.836755152707569,0.99970875222106
"CAALFM_C101980WA",207.081424421677,0.0155847420281209,0.0566704978922011,0.365180193435046,0.99970875222106
"CAALFM_C101990WA",6.05318018615283,-0.00673339968963771,0.0570703628856123,0.149575957774651,0.99970875222106
"CAALFM_C102000WA",1557.64896910606,0.0020299154967243,0.0560980238842713,0.810033409527561,0.99970875222106
"CAALFM_C102010CA",325.267822604866,0.00267421072456111,0.0549308937196244,0.847635782578305,0.99970875222106
"CAALFM_C102020WA",154.43096547731,0.0118547203972174,0.0571822194255083,0.316390022109936,0.99970875222106
"CAALFM_C102030CA",332.361033248974,0.00839751719753754,0.055990466878823,0.51830408520916,0.99970875222106
"CAALFM_C102040CA",911.691820804988,0.000770786630885531,0.0561671365487645,0.918516349170577,0.99970875222106
"CAALFM_C102050CA",1866.0743141377,0.00454588584219448,0.0564782449788026,0.527651958472905,0.99970875222106
"CAALFM_C102060WA",1203.11652881811,0.000676863467740867,0.0564189797557124,0.904053730312947,0.99970875222106
"CAALFM_C102070WA",20.0201510540313,0.00590191990114985,0.0566791372499339,0.4030005695024,0.99970875222106
"CAALFM_C102080WA",515.603978439051,-0.000912786116621921,0.0564502449807761,0.851416014091561,0.99970875222106
"CAALFM_C102090CA",264.86322000713,-0.000882067293956501,0.0562579776549158,0.893825132199077,0.99970875222106
"CAALFM_C102100WA",314.435944896397,0.000120677816505713,0.0561445815405343,0.990249318812384,0.99970875222106
"CAALFM_C102110CA",601.189136875657,0.00513738230328955,0.056844344600979,0.248463735169616,0.99970875222106
"CAALFM_C102130CA",518.801697548155,0.0060491832347609,0.0563941793421826,0.507272984061629,0.99970875222106
"CAALFM_C102150WA",180.94284486817,0.00331467885131662,0.0566565202774722,0.432679516066605,0.99970875222106
